Composer,Title,Catalog Number,Completed,Nickname,Work Number,Work Nickname,Key,Notes,Wikipedia,IMSLP,Opus IMSLP,Opus Notes
Boccherini,24,182,1772,,6,,c minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_C_minor%2C_G.182_(Boccherini%2C_Luigi),,
Boccherini,25,183,1775,,1,,C Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.183-188_(Op.22)_(Boccherini,_Luigi)",
Boccherini,26,184,1775,,2,,D Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.183-188_(Op.22)_(Boccherini,_Luigi)",
Boccherini,27,185,1775,,3,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.183-188_(Op.22)_(Boccherini,_Luigi)",
Boccherini,28,186,1775,,4,,B-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.183-188_(Op.22)_(Boccherini,_Luigi)",
Boccherini,29,187,1775,,5,,a minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.183-188_(Op.22)_(Boccherini,_Luigi)",
Boccherini,30,188,1775,,6,,C Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.183-188_(Op.22)_(Boccherini,_Luigi)",
Boccherini,31,189,1777,,1,,D Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.189-194_(Op.24)_(Boccherini,_Luigi)",
Boccherini,32,190,1777,,2,,A Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.189-194_(Op.24)_(Boccherini,_Luigi)",
Boccherini,33,191,1777,,3,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.189-194_(Op.24)_(Boccherini,_Luigi)",
Boccherini,34,192,1777,,4,,C Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.189-194_(Op.24)_(Boccherini,_Luigi)",
Boccherini,35,193,1777,,5,,c minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.189-194_(Op.24)_(Boccherini,_Luigi)",
Boccherini,36,194,1777,,6,,g minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.189-194_(Op.24)_(Boccherini,_Luigi)",
Boccherini,37,195,1778,Monsieur le Baron du Beine de Malchamps,1,,B-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.195-200_(Op.26)_(Boccherini,_Luigi)",
Boccherini,38,196,1778,Monsieur le Baron du Beine de Malchamps,2,,g minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.195-200_(Op.26)_(Boccherini,_Luigi)",
Boccherini,39,197,1778,Monsieur le Baron du Beine de Malchamps,3,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.195-200_(Op.26)_(Boccherini,_Luigi)",
Boccherini,40,198,1778,Monsieur le Baron du Beine de Malchamps,4,,A Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.195-200_(Op.26)_(Boccherini,_Luigi)",
Boccherini,41,199,1778,Monsieur le Baron du Beine de Malchamps,5,,F Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.195-200_(Op.26)_(Boccherini,_Luigi)",
Boccherini,42,200,1778,Monsieur le Baron du Beine de Malchamps,6,,f minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.195-200_(Op.26)_(Boccherini,_Luigi)",
Boccherini,43,201,1780,,1,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.201-206_(Op.32)_(Boccherini,_Luigi)",
Boccherini,44,202,1780,,2,,e minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.201-206_(Op.32)_(Boccherini,_Luigi)",
Boccherini,45,203,1780,,3,,D Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.201-206_(Op.32)_(Boccherini,_Luigi)",
Boccherini,46,204,1780,,4,,C Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.201-206_(Op.32)_(Boccherini,_Luigi)",
Boccherini,47,205,1780,,5,,g minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.201-206_(Op.32)_(Boccherini,_Luigi)",
Boccherini,48,206,1780,,6,,A Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.201-206_(Op.32)_(Boccherini,_Luigi)",
Boccherini,49,207,1781,,1,,E Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,50,208,1781,,2,,C Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,51,209,1781,,3,,G Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,52,210,1781,,4,,B-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,53,211,1781,,5,,e minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,54,212,1781,,6,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
